platform,best_page_name,rank,brand_name,product_name,category_large,category_medium,category_small,category_path,price,discount_rate,like_count,review_count,review_score,item_url,thumbnail_url,collected_at
29CM,전체,1,그노노이,밍크 기모 스트레이트 데님 (Light Blue),여성의류,바지,데님,여성의류 > 바지 > 데님,49870,34,1359,16,5.0,https://product.29cm.co.kr/catalog/3665527,https://img.29cm.co.kr/item/202512/11f0da377698ff10a3c0c117ae2c1323.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,2,얀13,BOA FLEECE PADDING JACKET_3 COLOR,여성의류,아우터,숏패딩,여성의류 > 아우터 > 숏패딩,106200,55,24307,174,4.5,https://product.29cm.co.kr/catalog/947552,https://img.29cm.co.kr/next-product/2021/01/12/62e75243675e48a78dc636992748c3be_20210112201551.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,3,르,[은현 PICK] vintage fur half coat (beige),여성의류,아우터,하프코트,여성의류 > 아우터 > 하프코트,122230,69,14309,159,4.5,https://product.29cm.co.kr/catalog/2960683,https://img.29cm.co.kr/item/202512/11f0db2a14c883d8a3c02f0e39cdbc9d.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,4,오떼뜨,"[12/30 예약배송] [여울,알로하 착용] [23rd] BOUCLE RAM HALF FUR-COAT_BEIGE",여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,230400,20,29317,748,5.0,https://product.29cm.co.kr/catalog/2892735,https://img.29cm.co.kr/item/202511/11f0baaa17fe8c51938051050108e7e7.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,5,시야쥬,SIOT4010 Duck Down Crop PD_Ivory,여성의류,단독,,여성의류 > 단독,114460,42,21035,1072,4.5,https://product.29cm.co.kr/catalog/2312350,https://img.29cm.co.kr/item/202512/11f0d0d9e7ec29dbab9db33838e2930e.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,6,하네,[29CM 단독] [커치프 SET] 에센셜 라운드 가디건 10Color,여성의류,단독,아우터,여성의류 > 단독 > 아우터,50400,46,30879,1306,5.0,https://product.29cm.co.kr/catalog/3410043,https://img.29cm.co.kr/item/202508/11f08478f8ce31cbab5d517f784dc080.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,7,오프아워,(w) 세린 나이트 수면 잠옷 세트 3colors,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,23050,48,26188,2461,5.0,https://product.29cm.co.kr/catalog/2777243,https://img.29cm.co.kr/item/202510/11f09e6862cec264be46ed2459c135f1.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,8,몽돌,[묵화 PICK] 소프트 코튼 V넥 니트 탑 MDKT127_7 Colors,여성의류,니트웨어,브이넥,여성의류 > 니트웨어 > 브이넥,37170,37,15361,110,4.5,https://product.29cm.co.kr/catalog/3440399,https://img.29cm.co.kr/item/202509/11f09cf5a4b57042a4cd075a1a92cf8c.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,9,아틀리에 나인,[29CM 단독] FLUFFY WOOL BOUCLE COAT(CT-1470),여성의류,아우터,숏코트,여성의류 > 아우터 > 숏코트,222610,25,7959,42,5.0,https://product.29cm.co.kr/catalog/3563122,https://img.29cm.co.kr/item/202512/11f0dbb6257e4be6a3c02343b1826e7c.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,10,로우,[5th_1/6 예약배송] Teddy fleece anorak_navy stripe,여성의류,아우터,플리스,여성의류 > 아우터 > 플리스,109000,0,8693,47,5.0,https://product.29cm.co.kr/catalog/3638661,https://img.29cm.co.kr/item/202511/11f0c03affb14929a563cbe2f0c50560.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,11,닉앤니콜,[ESSENTIAL] HIGH NECK SLIM TOP_12 COLOR,여성의류,상의,긴소매 티셔츠,여성의류 > 상의 > 긴소매 티셔츠,20480,47,14404,1714,4.5,https://product.29cm.co.kr/catalog/870460,https://img.29cm.co.kr/next-product/2020/10/23/4b87c00d92db46efa172098182adb17a_20201023151321.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,12,르,[은현 PICK] wool double-breasted coat (melange gray),여성의류,아우터,롱코트,여성의류 > 아우터 > 롱코트,186270,59,7074,36,5.0,https://product.29cm.co.kr/catalog/3599047,https://img.29cm.co.kr/item/202511/11f0b867a7ab9ed68388f5d28f9eccc5.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,13,스텝어라운드,[융기모]Fleece Lined Bootcut Banding Pants_BLACK,여성의류,바지,트레이닝,여성의류 > 바지 > 트레이닝,53550,37,1928,52,5.0,https://product.29cm.co.kr/catalog/3610556,https://img.29cm.co.kr/item/202512/11f0d4a51d9df9a2a3c00968498bc2cb.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,14,파사드패턴,[일부옵션 8차 2/4예약배송] 램스울 퍼 하프 코트_brown,여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,398000,0,18146,114,5.0,https://product.29cm.co.kr/catalog/2923189,https://img.29cm.co.kr/item/202411/11ef9b2f4ac4470fb65c11eedc340286.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,15,댑,댑 윈터원더랜드 수면 잠옷세트 여성용,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,29900,55,4116,124,5.0,https://product.29cm.co.kr/catalog/3639030,https://img.29cm.co.kr/item/202511/11f0c5df29419d1da563e1688396a89a.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,16,휘게 언더웨어,[29CM 선오픈][시그니처]  데일리 2.0 브라렛 팬티 세트 - 6Colors,여성의류,언더웨어,세트,여성의류 > 언더웨어 > 세트,18900,41,47046,25560,5.0,https://product.29cm.co.kr/catalog/1187467,https://img.29cm.co.kr/item/202512/11f0d7289549f0d8a5406b59a3330d14.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,17,무브웜,[누가영 착용] Sheer Tencel T-Shirts- 6Colors,레저,요가/필라테스,상의,레저 > 요가/필라테스 > 상의,49000,0,7768,698,5.0,https://product.29cm.co.kr/catalog/2850695,https://img.29cm.co.kr/item/202512/11f0d37fa5651deaa54075794084e624.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,18,던스트,CURLY FUR HALF JACKET IVORY_UDJU5D222IV,여성의류,아우터,기타 아우터,여성의류 > 아우터 > 기타 아우터,191150,42,2431,6,4.5,https://product.29cm.co.kr/catalog/3562766,https://img.29cm.co.kr/item/202511/11f0be00b9a4863da563e7ebd6a090ad.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,19,108파운드,Molly Reversible Shearling Coat_Dark brown,여성의류,아우터,무스탕,여성의류 > 아우터 > 무스탕,227700,10,26562,249,4.5,https://product.29cm.co.kr/catalog/3531193,https://img.29cm.co.kr/item/202509/11f09ab523b75244920c61e3e96ef393.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,20,하네,[29CM 단독] 솔리드 코어 V넥 니트 6Color,여성의류,니트웨어,브이넥,여성의류 > 니트웨어 > 브이넥,49860,46,20267,434,4.5,https://product.29cm.co.kr/catalog/3451446,https://img.29cm.co.kr/item/202509/11f0947f14285460a7fa2991b2735f48.png,2025-12-24T02:51:00.386137+09:00
29CM,전체,21,코어드,[7차/예약배송] Shearing mustang (beige),여성의류,아우터,무스탕,여성의류 > 아우터 > 무스탕,273020,25,5413,53,5.0,https://product.29cm.co.kr/catalog/3605248,https://img.29cm.co.kr/item/202512/11f0da45fc0c2c10a3c0cf50965d258b.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,22,제너럴아이디어,WOMAN 리버시블 무스탕 더플 코트 [DARK BROWN] / WBE4L10522,여성의류,아우터,숏코트,여성의류 > 아우터 > 숏코트,183000,19,5693,23,5.0,https://product.29cm.co.kr/catalog/3612648,https://img.29cm.co.kr/next-product/2025/10/28/43874ccb14674569b1ff2469298f13a6_20251028190817.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,23,아티드,클라우드 알파카 라운드넥 가디건_4COLORS,여성의류,니트웨어,카디건,여성의류 > 니트웨어 > 카디건,88350,48,5359,75,5.0,https://product.29cm.co.kr/catalog/3407556,https://img.29cm.co.kr/item/202512/11f0daeb443e04bea540a7337f4cf7eb.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,24,샤드라마,[정린 착용/5차 REORDER] CLOUD SEARING FUR COAT [BEIGE],여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,234980,21,7781,39,5.0,https://product.29cm.co.kr/catalog/3600315,https://img.29cm.co.kr/item/202510/11f0b3d7b18b921fb27db144a55e045d.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,25,도씨,[해원 Pick] 실크핏 클로에 긴팔 커플 잠옷 세트,남성의류,홈웨어,세트,남성의류 > 홈웨어 > 세트,20590,59,20752,1718,5.0,https://product.29cm.co.kr/catalog/2799427,https://img.29cm.co.kr/item/202512/11f0ce7bde8b5e49a563a35929463aef.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,26,비터셀즈,[2 PACK]Essential Golgi Tee-7 colors,여성의류,상의,긴소매 티셔츠,여성의류 > 상의 > 긴소매 티셔츠,54600,30,33392,1063,5.0,https://product.29cm.co.kr/catalog/3442256,https://img.29cm.co.kr/item/202509/11f08f7667c6576e94a2fb5964d8910e.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,27,오떼뜨,[38th] CASHMERE LAYERED KNIT_5COLOR,여성의류,니트웨어,크루넥,여성의류 > 니트웨어 > 크루넥,108800,15,7558,160,4.5,https://product.29cm.co.kr/catalog/2527130,https://img.29cm.co.kr/item/202508/11f07c0115976476964acf758b33e625.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,28,유라고,Jacquard hoodie cardigan_2colors,여성의류,니트웨어,카디건,여성의류 > 니트웨어 > 카디건,92000,20,74862,2135,4.5,https://product.29cm.co.kr/catalog/2270167,https://img.29cm.co.kr/item/202512/11f0d4a3a523a5f4a3c099a632bf236f.png,2025-12-24T02:51:00.386137+09:00
29CM,전체,29,오프아워,(w) 그레이슈 스트라이프 로브,여성의류,홈웨어,로브,여성의류 > 홈웨어 > 로브,24080,46,6889,385,5.0,https://product.29cm.co.kr/catalog/3426005,https://img.29cm.co.kr/item/202509/11f09df12c45db79a8b707030d58bd4e.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,30,시야쥬,SIPT7097 기모 골지 스웻 팬츠_Cream,여성의류,바지,트레이닝,여성의류 > 바지 > 트레이닝,46020,27,21609,887,4.5,https://product.29cm.co.kr/catalog/2314126,https://img.29cm.co.kr/item/202311/11ee7d46da4a7741a5b38f180e289750.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,31,르바,[11차][사이즈추가] Hairy Alpaca Blended Single Jacket - Charcoal,여성의류,아우터,재킷,여성의류 > 아우터 > 재킷,269100,10,38265,381,4.5,https://product.29cm.co.kr/catalog/2825493,https://img.29cm.co.kr/item/202510/11f0aa6bab478924a918a9644b10f962.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,32,셀리테일즈,FLOWER REVERSIBLE FLEECE JACKET_IVORY,여성의류,아우터,플리스,여성의류 > 아우터 > 플리스,118200,34,24174,290,5.0,https://product.29cm.co.kr/catalog/3556856,https://img.29cm.co.kr/item/202510/11f0ad5d1cdd8a6bb27dd7fcbf11915f.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,33,유라고,[1차 리오더][with 은현] Chloe fur half jacket_2colors,여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,162000,10,5554,41,5.0,https://product.29cm.co.kr/catalog/3620013,https://img.29cm.co.kr/item/202511/11f0ba092ecd3e728388bdb1e9365130.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,34,오프아워,(w) 크렘플래드 플러핏 긴팔 잠옷 세트,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,24430,51,5650,296,5.0,https://product.29cm.co.kr/catalog/3543030,https://img.29cm.co.kr/item/202509/11f09df2edb342bcbe46ebbcfa7799c7.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,35,코드그라피,[24년 리뉴얼VER.] 더플 후드 패딩_3COLOR,여성의류,아우터,숏패딩,여성의류 > 아우터 > 숏패딩,111750,25,14486,269,4.5,https://product.29cm.co.kr/catalog/2246291,https://img.29cm.co.kr/item/202512/11f0d0d69db8ae2fa563e31fc1fd34aa.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,36,오피쉬,"FLUFFY MIX FUR JACKET, LIGHT GRAY",여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,193590,19,5864,47,4.5,https://product.29cm.co.kr/catalog/3527906,https://img.29cm.co.kr/item/202509/11f096efe467989ea7fa9729dad85c76.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,37,아워코모스,[여울 착용] comos 1264 button slit off-shoulder knit (brown),여성의류,니트웨어,기타 니트,여성의류 > 니트웨어 > 기타 니트,59200,20,11717,71,4.5,https://product.29cm.co.kr/catalog/2919685,https://img.29cm.co.kr/item/202511/11f0c435c7961db283880f9d9829e7be.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,38,아우브아워,[29CM 단독][9차 재입고] vent wool half coat (grey),여성의류,아우터,하프코트,여성의류 > 아우터 > 하프코트,259120,30,9822,82,5.0,https://product.29cm.co.kr/catalog/3487361,https://img.29cm.co.kr/item/202512/11f0d1b91e4f65fca3c0d1c7be00b377.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,39,오프아워,[2PACK] (uni) 크렘플래드 플러핏 긴팔 잠옷 세트,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,48850,50,1193,106,5.0,https://product.29cm.co.kr/catalog/3543044,https://img.29cm.co.kr/item/202509/11f09df363c25854be468ff71fe1517d.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,40,아르토,[루피타PICK/14th] Velvet Shirring Long Sleeve Tee_3 Colors,여성의류,상의,긴소매 티셔츠,여성의류 > 상의 > 긴소매 티셔츠,45600,5,3380,57,5.0,https://product.29cm.co.kr/catalog/3655349,https://img.29cm.co.kr/item/202512/11f0ce596429fd8dab9d33e661d1d936.png,2025-12-24T02:51:00.386137+09:00
29CM,전체,41,코어드,[4차] Molly fur jacket (ivory),여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,275500,5,6519,12,4.5,https://product.29cm.co.kr/catalog/3605237,https://img.29cm.co.kr/item/202511/11f0bae23b62a0fb9380b15f17c3b131.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,42,도씨,[해원 Pick] 실크핏 웬즈데이 긴팔 커플 잠옷 세트,남성의류,홈웨어,세트,남성의류 > 홈웨어 > 세트,20590,59,9316,792,5.0,https://product.29cm.co.kr/catalog/2799429,https://img.29cm.co.kr/item/202511/11f0cb593f3ff7d1ab9df5a2825b1e1a.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,43,조스라운지,[누가영 착용] [웜모달] (w) Leeds Pajama Set,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,67430,31,8139,667,5.0,https://product.29cm.co.kr/catalog/2820650,https://img.29cm.co.kr/item/202512/11f0cf258b41cc01ab9d831f13f36e8f.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,44,아유서울,"HIGH-NECK FAUX HALF FUR COAT, IVORY",여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,301440,10,7164,25,5.0,https://product.29cm.co.kr/catalog/3551400,https://img.29cm.co.kr/item/202512/11f0ce6025623319ab9db128472c104f.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,45,포에토,[24th] Mild cashmere v-neck knit - grape,여성의류,니트웨어,캐시미어,여성의류 > 니트웨어 > 캐시미어,90000,28,13936,458,5.0,https://product.29cm.co.kr/catalog/3458127,https://img.29cm.co.kr/item/202508/11f08320fe43711288938fd690e94635.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,46,룸페커,퍼스트 절개 양기모 팬츠,여성의류,바지,트레이닝,여성의류 > 바지 > 트레이닝,34240,20,1714,30,4.5,https://product.29cm.co.kr/catalog/3653741,https://img.29cm.co.kr/next-product/2025/11/19/e8bad155709740418804cbe57ecb2985_20251119174644.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,47,챔피온,퀼팅 푸퍼 패딩 재킷 2 color,남성의류,아우터,숏패딩,남성의류 > 아우터 > 숏패딩,99000,41,1026,9,4.0,https://product.29cm.co.kr/catalog/3522931,https://img.29cm.co.kr/item/202510/11f0b3c7fddb80d7b27d6b7aa56ccb7d.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,48,튜드먼트,70s CORDUROY PANTS_4COLORS,여성의류,바지,스트레이트,여성의류 > 바지 > 스트레이트,56740,36,4508,194,5.0,https://product.29cm.co.kr/catalog/3527335,https://img.29cm.co.kr/item/202512/11f0cf1e0ed8e88fa56311dd75def747.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,49,108파운드,[루피타 PICK] Molly Reversible Shearling Coat_Camel,여성의류,아우터,무스탕,여성의류 > 아우터 > 무스탕,227700,10,13408,108,4.5,https://product.29cm.co.kr/catalog/3531192,https://img.29cm.co.kr/item/202512/11f0ce4ab8379f03ab9d4b2864752a34.jpg,2025-12-24T02:51:00.386137+09:00
